char,dialog,i,a,g,r,d,o,l,h,c
PIPPIN,"['leav', 'alon']",,,,,,,,,
WILDMAN,"['die', 'saruman']",,,,,,,,,
SAM,['spoken'],,,,,,,,,
GAMLING,"['make', 'way', 'king', 'make', 'way', 'theoden', 'make', 'way', 'king']",,,,,,,,,
PIPPIN,"['think', 'would', 'find', 'liveri', 'would', 'fit']",,,,,,,,,
TREEBEARD,"['make', 'sens', 'small', 'perhap', 'right', 'south', 'hold', 'littl', 'shirel', 'alway', 'like', 'go', 'south', 'somehow', 'feel', 'like', 'go', 'downhil']",,,,,,,,,
FRODO,"['noth', 'ever', 'dampen', 'spiritsdo', 'sam']",,,,,,,,,
MERRY,"['look', 'alway', 'look']",,,,,,,,,
ARAGORN,"['lord', 'elrond']",,,,,,,,,
EOWYN,['fight'],,,,,,,,,
ARAGORN,['brego'],,,,,,,,,
MERRY,"['must', 'help', 'pleas', 'must', 'someth']",,,,,,,,,
FRODO,"['late', 'taken', 'sam', 'took', 'ring']",,,,,,,,,
EOWYN,"['lord', 'aragorn']",,,,,,,,,
GIMLI,"['forward', 'mean', 'charg', 'forward']",,,,,,,,,
GANDALF,"['pass', 'cirith', 'ungol']",,,,,,,,,
FARAMIR,"['think', 'last', 'understand', 'one', 'anoth', 'frodo', 'baggin']",,,,,,,,,
GANDALF,['owwwh'],,,,,,,,,
FRODO,"['friend', 'gandalf', 'grey', 'tell', 'arriv']",,,,,,,,,
SAM,"['yes', 'cours', 'morbid', 'think', 'go', 'back', 'like', 'mr', 'bilbo', 'see']",,,,,,,,,
GANDALF,"['ridicul', 'hobbit', 'guard', 'citadel']",,,,,,,,,
ARAGORN,"['hobbit', 'lay']",,,,,,,,,
GANDALF,"['common', 'tongu', 'say']",,,,,,,,,
SARUMAN,['rip'],,,,,,,,,
FARAMIR,"['come', 'north', 'river', 'quick', 'quick']",,,,,,,,,
GIMLI,['regurgit'],,,,,,,,,
MERRY,"['get', 'rope', 'sam']",,,,,,,,,
FRODO,"['mean', 'lot', 'thingsto', 'happen', 'sam']",,,,,,,,,
ARAGORN,"['aragorn', 'son', 'arathorn', 'gim', 'son', 'gloinand', 'legola', 'woodland', 'realm', 'friend', 'rohanand', 'theoden', 'king']",,,,,,,,,
FRODO,[],,,,,,,,,
SAM,[],,,,,,,,,
GORBAG,"['scum', 'tri', 'knife', 'kill']",,,,,,,,,
STRIDER,['kingsfoil'],,,,,,,,,
SAM,['shire'],,,,,,,,,
GANDALF,"['mina', 'tirith', 'saw']",,,,,,,,,
FRODO,['gollum'],,,,,,,,,
MERRY,"['hear', 'someth', 'right', 'right']",,,,,,,,,
ARWEN,"['si', 'peliannen', 'v', 'na', 'dail', 'l', 'n', 'si', 'boe', 'dhannathach']",,,,,,,,,
FRODO,"['sorri', 'uncl', 'afraid', 'lost']",,,,,,,,,
MERRY,['aaagh'],,,,,,,,,
FRODO,"['right', 'sam', 'tri', 'tell', 'sorri', 'ring', 'take', 'sam', 'put', 'find', 'see']",,,,,,,,,
ARAGORN,"['one', 'thing', 'changeddear', 'friend', 'still', 'speak', 'riddl']",,,,,,,,,
SOLDIER,"['mordor', 'come']",,,,,,,,,
PIPPIN,['idea'],,,,,,,,,
BOROMIR,"['fail', 'happen', 'sauron', 'take', 'back']",,,,,,,,,
FRODO,"['pick', 'thread', 'old', 'life', 'go', 'heart', 'begin', 'understand', 'go', 'back', 'thing', 'time', 'cannot', 'mend', 'hurt', 'go', 'deep', 'taken', 'hold']",,,,,,,,,
ORC,"['come', 'along', 'scum', 'whip', 'bone', 'come', 'told', 'get', 'come', 'slug', 'two', 'go', 'straight', 'front', 'line', 'move', 'come', 'fall', 'move', 'move', 'move']",,,,,,,,,
FRODO,"['ask', 'come', 'sam']",,,,,,,,,
GOLLUM,"['look', 'look', 'see', 'smeagol', 'find']",,,,,,,,,
GAMLING,['hama'],,,,,,,,,
ARAGORN,"['mae', 'carnen', 'brego', 'mellon', 'n', 'n']",,,,,,,,,
BILBO,"['old', 'sword', 'sting', 'take', 'take']",,,,,,,,,
ARAGORN,"['mine', 'place', 'poni', 'even', 'one', 'brave', 'bill']",,,,,,,,,
GOLLUM,"['quick', 'see', 'us', 'see', 'us']",,,,,,,,,
MERRY,"['think', 'might', 'made', 'mistakeleav', 'shire', 'pippin']",,,,,,,,,
GOLLUM,"['come', 'smeagol']",,,,,,,,,
MERRY,"['think', 'know', 'second', 'breakfast', 'pippin']",,,,,,,,,
GANDALF,"['hold', 'back', 'give', 'fear', 'stand', 'post', 'fight']",,,,,,,,,
ARAGORN,"['wish', 'joy', 'sinc', 'first', 'saw']",,,,,,,,,
GIMLI,"['turn', 'given', 'riseto', 'belief', 'dwarf', 'women', 'dwarv', 'spring', 'outof', 'hole', 'ground']",,,,,,,,,
FRODO,['gollum'],,,,,,,,,
ARWEN,"['nach', 'gwannatha', 'sin']",,,,,,,,,
FARAMIR,['speak'],,,,,,,,,
SAM,"['let', 'go', 'longshank']",,,,,,,,,
DENETHOR,"['judg', 'right', 'sent', 'ring', 'power', 'mordor', 'hand', 'witless', 'halfl', 'brought', 'back', 'citadel', 'kept', 'safe', 'hidden', 'dark', 'deep', 'vault', 'use', 'unless', 'uttermost', 'end', 'need']",,,,,,,,,
GOLLUM,['what'],,,,,,,,,
BOROMIR,"['make', 'gap', 'rohan', 'never', 'come']",,,,,,,,,
GIMLI,"['soon', 'mr', 'elf', 'enjoy', 'fabel', 'hospit', 'dwarv', 'roar', 'fire', 'malt', 'beer', 'red', 'meat', 'bone']",,,,,,,,,
GANDALF,"['listen', 'care', 'lord', 'denethor', 'boromir', 'father', 'give', 'news', 'belov', 'son', 'death', 'would', 'unwis', 'mention', 'frodo', 'ring', 'say', 'noth', 'aragorn', 'either', 'fact', 'better', 'speak', 'peregrin', 'took']",,,,,,,,,
ARAGORN,"['gap', 'rohan', 'take', 'us', 'close', 'isengard']",,,,,,,,,
SAM,"['folk', 'stori', 'lot', 'chanc', 'turn', 'back', 'kept', 'go', 'hold', 'someth']",,,,,,,,,
GANDALF,"['come', 'treat', 'sauron', 'faithless', 'accurs', 'tell', 'master', 'armi', 'mordor', 'must', 'disband', 'depart', 'land', 'never', 'return']",,,,,,,,,
THEODEN,"['glad', 'accept', 'shall', 'meriadoc', 'esquir', 'rohan']",,,,,,,,,
GOLLUM,"['yes', 'path', 'stair', 'tunnel']",,,,,,,,,
ARAGORN,"['friend', 'bow', 'one']",,,,,,,,,
MERRY,"['ok', 'want', 'tomato', 'sam']",,,,,,,,,
MERRY,['yes'],,,,,,,,,
SARUMAN,"['come', 'inform', 'someth', 'fester', 'heart', 'middl', 'earth', 'someth', 'fail', 'see', 'great', 'eye', 'seen', 'even', 'press', 'advantag', 'attack', 'come', 'soon', 'go', 'die', 'know', 'gandalf', 'cannot', 'think', 'ranger', 'ever', 'sit', 'upon', 'throne', 'gondor', 'exil', 'crept', 'shadow', 'never', 'crown', 'king', 'gandalf', 'hesit', 'sacrific', 'closest', 'profess', 'love', 'tell', 'word', 'comfort', 'give', 'halfl', 'sent', 'doom', 'path', 'set', 'lead', 'death']",,,,,,,,,
SAM,"['frodo', 'get', 'hide']",,,,,,,,,
GANDALF,"['soldier', 'gondor', 'matter', 'come', 'gate', 'stand', 'ground']",,,,,,,,,
GOLLUM,"['liar', 'thief']",,,,,,,,,
LEGOLAS,"['drink', 'game']",,,,,,,,,
CHILDREN HOBBITS,"['gandalf', 'gandalf']",,,,,,,,,
STRIDER,"['near', 'frighten', 'enough', 'know', 'hunt']",,,,,,,,,
SARUMAN,"['ten', 'thousand']",,,,,,,,,
PIPPIN,"['merri', 'merri', 'pippin']",,,,,,,,,
UGLUK,"['someth', 'elvish', 'weapon', 'master', 'want', 'war']",,,,,,,,,
GANDALF,"['knew', 'everi', 'spell', 'tongu', 'elv', 'men', 'orc']",,,,,,,,,
TREEBEARD,"['away', 'wake', 'eat', 'earth', 'dig', 'deep', 'drink', 'water']",,,,,,,,,
GOLLUM,"['yes', 'yes', 'yes']",,,,,,,,,
GOLLUM,"['secret', 'stair', 'climb']",,,,,,,,,
DENETHOR,"['boromir', 'loyal', 'wizard', 'pupil']",,,,,,,,,
THEODEN,"['theoden', 'rohan', 'led', 'peopl', 'victori']",,,,,,,,,
FRODO,['say'],,,,,,,,,
FRODO,"['said', 'life', 'sad', 'stori']",,,,,,,,,
GIMLI,"['talk', 'tree', 'tree', 'talk', 'except', 'consistencyof', 'squirrel', 'drop']",,,,,,,,,
EOMER,['encourag'],,,,,,,,,
GANDALF,"['run', 'shadowfax', 'show', 'us', 'mean', 'hast']",,,,,,,,,
BOROMIR ,[],,,,,,,,,
GOLLUM,"['time', 'lose', 'silli']",,,,,,,,,
PIPPIN,['quiet'],,,,,,,,,
GANDALF,"['peregrin', 'took', 'lad', 'task', 'done', 'anoth', 'opportun', 'one', 'shire', 'folk', 'prove', 'great', 'worth', 'must', 'fail']",,,,,,,,,
FRODO,[],,,,,,,,,
GOLLUM,"['busi', 'leav', 'us', 'alon']",,,,,,,,,
SAM,"['mr', 'frodo']",,,,,,,,,
HALDIR,"['mae', 'govannen', 'legola', 'thranduilion']",,,,,,,,,
ARAGORN,"['let', 'lord', 'black', 'land', 'come', 'forth', 'let', 'justic', 'done', 'upon']",,,,,,,,,
GANDALF,"['understand', 'bicker', 'amongst', 'sauron', 'power', 'grow', 'none', 'escap', 'destroy']",,,,,,,,,
GANDALF,"['sauron', 'yet', 'show', 'deadliest', 'servant', 'one', 'lead', 'mordor', 'armi', 'war', 'one', 'say', 'live', 'man', 'kill', 'witch', 'king', 'angmar', 'met', 'stab', 'frodo', 'weathertop', 'lord', 'nazg', 'l', 'greatest', 'nine']",,,,,,,,,
SAM,"['yes', 'mr', 'frodo']",,,,,,,,,
PIPPIN,"['want', 'battl', 'wait', 'edg', 'one', 'escap', 'even', 'wors', 'hope', 'gandalf', 'frodo', 'sam']",,,,,,,,,
SAM,"['old', 'gaffer']",,,,,,,,,
GALADRIEL,"['moria', 'fear', 'go', 'mine']",,,,,,,,,
GRIMA,"['north', 'one', 'dunedain', 'rangersi', 'thought', 'cloth', 'poor', 'yet', 'bore', 'strang', 'ringtwo', 'serpent', 'emerald', 'eye', 'one', 'devouringth', 'crown', 'golden', 'flower']",,,,,,,,,
FRODO,['smeagol'],,,,,,,,,
SARUMAN,"['send', 'warg', 'rider']",,,,,,,,,
SARUMAN,['war'],,,,,,,,,
EOWYN,['return'],,,,,,,,,
WOMAN,"['past', 'door']",,,,,,,,,
BOROMIR,"['one', 'moment', 'peac', 'give', 'us']",,,,,,,,,
FARAMIR,"['forfeit', 'releas']",,,,,,,,,
ROHIRRIM,['cut'],,,,,,,,,
MERRY,['decis'],,,,,,,,,
MERRY,"['know', 'know', 'what', 'go', 'happen']",,,,,,,,,
GANDALF,"['servant', 'secret', 'fire', 'wielder', 'flame', 'anor', 'go', 'back', 'shadow', 'dark', 'fire', 'avail', 'flame', 'udun']",,,,,,,,,
MERRY,"['knew', 'find']",,,,,,,,,
LEGOLAS,['goblin'],,,,,,,,,
FRODO,['ha'],,,,,,,,,
GANDALF,"['memori', 'place']",,,,,,,,,
GOLLUM,"['young', 'tender', 'nice', 'yes', 'eat', 'eat']",,,,,,,,,
GIMLI,"['keep', 'breath', 'key', 'breath']",,,,,,,,,
GANDALF,"['regret', 'decis', 'leav', 'frodo', 'must', 'finish', 'task', 'alon']",,,,,,,,,
THEODEN,"['tonight', 'rememb', 'gave', 'blood', 'defend', 'countri']",,,,,,,,,
THEODEN,"['ralli', 'meeee']",,,,,,,,,
GOLLUM,"['clever', 'hobbit', 'climb', 'high', 'go', 'way', 'hurt', 'precious']",,,,,,,,,
GOLLUM,['save'],,,,,,,,,
LEGOLAS,"['come', 'gim', 'gain']",,,,,,,,,
PIPPIN,"['run', 'merri']",,,,,,,,,
SAM,['deserv'],,,,,,,,,
SARUMAN,"['rohan', 'lord', 'readi', 'fall']",,,,,,,,,
GANDALF,"['sent', 'death']",,,,,,,,,
ARAGORN,"['never', 'memori']",,,,,,,,,
ARAGORN,"['skill', 'blade']",,,,,,,,,
HAMA,"['order', 'king', 'citi', 'must', 'empti', 'make', 'refug', 'helm', 'deep']",,,,,,,,,
ROHIRRIM,['aye'],,,,,,,,,
PIPPIN,"['merri', 'merri']",,,,,,,,,
GANDALF,"['yes', 'white', 'tree', 'gondor', 'tree', 'king', 'lord', 'denethor', 'howev', 'king', 'steward', 'caretak', 'throne']",,,,,,,,,
ARAGORN,"['dolen', 'v', 'nin']",,,,,,,,,
GANDALF,"['retreat', 'citi', 'breach', 'fall', 'back', 'second', 'level', 'get', 'women', 'children', 'get', 'retreat']",,,,,,,,,
GANDALF,"['tell', 'frodo', 'ring']",,,,,,,,,
BILBO,"['dragon', 'nonsens', 'dragon', 'part', 'thousand', 'year']",,,,,,,,,
FARAMIR,"['griev', 'learn', 'dead']",,,,,,,,,
GOLLUM,"['would', 'kill', 'us', 'kill', 'us']",,,,,,,,,
SARUMAN,"['sauron', 'lord', 'earth']",,,,,,,,,
MERRY,"['part', 'world']",,,,,,,,,
TREEBEARD,"['hasti', 'master', 'meriadoc']",,,,,,,,,
GANDALF,"['let', 'risk', 'littl', 'light', 'behold', 'great', 'realm', 'dwarf', 'citi', 'dwarrowdelf']",,,,,,,,,
GOLLUM,"['see', 'see', 'want']",,,,,,,,,
EOWYN,['battl'],,,,,,,,,
SARUMAN,"['fought', 'mani', 'war', 'slain', 'mani', 'men', 'theoden', 'king', 'made', 'peac', 'afterward', 'take', 'counsel', 'togeth', 'old', 'friend', 'peac']",,,,,,,,,
SAM,"['stick', 'first']",,,,,,,,,
SOLDIERS IN MINAS TIRITH,"['mithrandir', 'white', 'rider']",,,,,,,,,
PIPPIN,"['well', 'taller', 'though', 'like', 'grow', 'anymor', 'except', 'sideway']",,,,,,,,,
BILBO,"['oh', 'thankyou', 'boy', 'good', 'lad', 'frodo', 'selfish', 'know', 'yes', 'selfish', 'know', 'took', 'mother', 'father', 'die', 'chariti', 'think', 'numer', 'relat', 'one', 'baggin', 'show', 'real', 'spirit']",,,,,,,,,
EOMER,"['flank', 'readi']",,,,,,,,,
EOWYN,['sssh'],,,,,,,,,
PIPPIN,[],,,,,,,,,
LEGOLAS,"['heard', 'noth', 'lord', 'elrond', 'said', 'ring', 'must', 'destroy']",,,,,,,,,
GIMLI,"['let', 'stay', 'let', 'rot', 'care']",,,,,,,,,
PIPPIN,"['ooh', 'close']",,,,,,,,,
HALDIR,"['nan', 'barad', 'keep']",,,,,,,,,
FRODO,"['quit', 'room', 'littl']",,,,,,,,,
SAM,"['bog', 'ropeand', 'good', 'know', 'natur', 'none']",,,,,,,,,
ARAGORN,['cannot'],,,,,,,,,
GOLLUM,"['master', 'friend']",,,,,,,,,
ARAGORN,"['asleep', 'dream']",,,,,,,,,
ARAGORN,['armi'],,,,,,,,,
GIMLI,['see'],,,,,,,,,
ORC,"['tree', 'strong', 'lord', 'root', 'go', 'deep']",,,,,,,,,
PEOPLE,['hail'],,,,,,,,,
SAM,"['must', 'get', 'near', 'teatim', 'leastway', 'would', 'decent', 'place', 'still', 'teatim']",,,,,,,,,
GANDALF,"['hearken', 'releas', 'spell']",,,,,,,,,
ARAGORN,"['et', 'e', 'rello', 'endorenna', 'ut', 'lien', 'sinom', 'maruvan', 'ar', 'hildinyar', 'tenn', 'ambar', 'metta']",,,,,,,,,
FRODO,"['underhil', 'name', 'underhil']",,,,,,,,,
PIPPIN,"['merri', 'merri']",,,,,,,,,
GAMLING,['keep'],,,,,,,,,
GANDALF,"['gandalf', 'white', 'come', 'back', 'turn', 'tide']",,,,,,,,,
GANDALF,"['fool', 'took', 'throw', 'next', 'time', 'rid', 'us', 'stupid']",,,,,,,,,
GANDALF,"['mina', 'tirith', 'citi', 'king']",,,,,,,,,
GOLLUM,"['make', 'war', 'last', 'war', 'coveral', 'world', 'shadow']",,,,,,,,,
ARAGORN,"['boe', 'ammen', 'veriad', 'l', 'n', 'andelu', 'ven']",,,,,,,,,
ARAGORN,"['man', 'le', 'trasta', 'brego', 'man', 'cenich']",,,,,,,,,
STRIDER,"['andelu', 'ven']",,,,,,,,,
MERRY,"['fire', 'lsengard', 'spread', 'wood', 'tuckborough', 'buckland', 'burn', 'green', 'good', 'world', 'gone', 'shire', 'pippin']",,,,,,,,,
SAURON,"['halfl', 'dear', 'thee', 'see', 'know', 'suffer', 'great', 'hand', 'host', 'would', 'thought', 'one', 'small', 'could', 'endur', 'much', 'pain', 'gandalf']",,,,,,,,,
ARWEN,"['man', 'pedich']",,,,,,,,,
FRODO,"['sam', 'sorri', 'sam']",,,,,,,,,
SAM,"['buby', 'bill']",,,,,,,,,
SAM,"['never', 'know']",,,,,,,,,
TREEBEARD,"['littl', 'famili', 'field', 'mice', 'climb', 'sometim', 'tickl', 'aw']",,,,,,,,,
BOROMIR,"['give', 'credit', 'yet', 'tri']",,,,,,,,,
SAM,['frodo'],,,,,,,,,
MERRY,['pippin'],,,,,,,,,
ARAGORN,['gim'],,,,,,,,,
FRODO,['excus'],,,,,,,,,
SAM,"['mr', 'frodo', 'look', 'king', 'got', 'crown']",,,,,,,,,
DENETHOR,"['depend', 'manner', 'return']",,,,,,,,,
SARUMAN,"['dawn', 'men']",,,,,,,,,
GRIMA,"['lie', 'saruman', 'white', 'ever', 'beenour', 'friend', 'alli']",,,,,,,,,
GRIMA,"['staff', 'told', 'take', 'wizard', 'staff']",,,,,,,,,
GOLLUM,"['name', 'name', 'smeagol']",,,,,,,,,
FARAMIR,"['men', 'tell', 'orc', 'spi']",,,,,,,,,
PIPPIN,"['frodo', 'come']",,,,,,,,,
THEODEN,"['long', 'give']",,,,,,,,,
FARAMIR,"['believ', 'dark', 'endur']",,,,,,,,,
GOLLUM,['sneak'],,,,,,,,,
GANDALF,['fond'],,,,,,,,,
GIMLI,"['two', 'hobbit', 'see', 'two', 'hobbit']",,,,,,,,,
THEODEN,['follow'],,,,,,,,,
GIMLI,['yes'],,,,,,,,,
GANDALF,"['tell', 'speak']",,,,,,,,,
FRODO,"['last', 'page', 'sam']",,,,,,,,,
THEODEN,"['want', 'everi', 'man', 'strong', 'lad', 'abl', 'bear', 'arm', 'readi', 'battl', 'nightfal']",,,,,,,,,
THEODEN,"['hold', 'stand', 'firm']",,,,,,,,,
PIPPIN,"['saw', 'saw', 'could', 'hear', 'voic', 'head']",,,,,,,,,
DENETHOR,"['say', 'vanquish', 'enemi', 'almost', 'singl', 'hand']",,,,,,,,,
FARAMIR,"['would', 'kept', 'return', 'would', 'known', 'son']",,,,,,,,,
GOLLUM,"['see', 'see', 'led', 'hurri', 'hobbits', 'hurri', 'lucki', 'find', 'nice', 'hobbit']",,,,,,,,,
FRODO,"['get', 'road', 'quick']",,,,,,,,,
PIPPIN,"['think', 'ring']",,,,,,,,,
EOMER,"['hasufel', 'arod', 'may', 'hors', 'bear', 'betterfortun', 'former', 'master', 'farewel']",,,,,,,,,
GOLLUM,['murder'],,,,,,,,,
FARAMIR,"['never', 'fit', 'either', 'boromir', 'alway', 'soldier', 'alik', 'father', 'proud', 'stubborn', 'even', 'strong']",,,,,,,,,
KING OF THE DEAD,"['enter', 'domain']",,,,,,,,,
FRODO,"['think', 'servant', 'enemi', 'would', 'look', 'fairer', 'feel', 'fouler']",,,,,,,,,
ARAGORN,"['alon', 'sam', 'went']",,,,,,,,,
GOLLUM,['precious'],,,,,,,,,
SAM,"['give', 'hand']",,,,,,,,,
BOROMIR,[],,,,,,,,,
ARAGORN,"['move', 'feet']",,,,,,,,,
FRODO,"['one', 'one', 'free', 'land', 'middl', 'earth', 'fell', 'power', 'ring', 'resist', 'last', 'allianc', 'elv', 'men', 'march', 'armi', 'mordor', 'slope', 'mount', 'doom', 'fought', 'freedom', 'middl', 'earth']",,,,,,,,,
PIPPIN,"['come', 'pint']",,,,,,,,,
MERRY,"['friend', 'pint']",,,,,,,,,
SOLDIER,"['hurri', 'along', 'hurri', 'along']",,,,,,,,,
MERRY,['go'],,,,,,,,,
FRODO,"['sam', 'come']",,,,,,,,,
GRIMA,"['send', 'sight']",,,,,,,,,
HALDIR,"['deal', 'dwarv', 'sinc', 'dark', 'day']",,,,,,,,,
FRODO,[],,,,,,,,,
GANDALF,"['tell', 'wont']",,,,,,,,,
PIPPIN,"['look', 'tree', 'move']",,,,,,,,,
MERRY,"['hello', 'pip']",,,,,,,,,
PIPPIN,"['well', 'nice', 'nice', 'ash', 'tomato']",,,,,,,,,
FRODO,['dead'],,,,,,,,,
LEGOLAS,['divers'],,,,,,,,,
PIPPIN,['aaaahhh'],,,,,,,,,
ARWEN,"['nathach', 'hi', 'gwannathach', 'minuial', 'archen']",,,,,,,,,
GOLLUM,"['master', 'betray', 'us', 'wick', 'tricksi', 'fals', 'ought', 'wring', 'filthi', 'littl', 'neck', 'kill', 'kill', 'kill', 'take', 'precious', 'master']",,,,,,,,,
GALADRIEL,"['task', 'appoint', 'frodo', 'shire', 'find', 'way', 'one']",,,,,,,,,
ARAGORN,"['cannot', 'wield', 'none', 'us', 'one', 'ring', 'answer', 'sauron', 'alon', 'master']",,,,,,,,,
EOWYN,"['true', 'esquir', 'rohan']",,,,,,,,,
GIMLI,"['agh', 'let', 'come', 'one', 'dwarf', 'yet', 'moria', 'still', 'draw', 'breath']",,,,,,,,,
THEODEN,"['get', 'cave', 'saruman', 'arm', 'grown', 'long', 'inde', 'think', 'reach', 'us']",,,,,,,,,
GOLLUM,"['could', 'let']",,,,,,,,,
PIPPIN,['merri'],,,,,,,,,
FREDA,['mama'],,,,,,,,,
DENETHOR,"['would', 'deni', 'father']",,,,,,,,,
BILBO,"['thank', 'want', 'visitor', 'well', 'wisher', 'distant', 'relat']",,,,,,,,,
FARAMIR,"['fall', 'back', 'retreat', 'retreat', 'run', 'live']",,,,,,,,,
FRODO,"['leav', 'shire', 'sam', 'must', 'get', 'bree']",,,,,,,,,
BOROMIR,"['love', 'father']",,,,,,,,,
SARUMAN,"['cuiva', 'nwalca', 'carnirass', 'nai', 'yarvaxea', 'rasselya']",,,,,,,,,
PIPPIN,"['pleas', 'merri', 'three', 'foot', 'six', 'wherea', 'push', '3', '7', '3', '8']",,,,,,,,,
DENETHOR,"['tomb', 'denethor', 'faramir', 'long', 'slow', 'sleep', 'death', 'embalm', 'shall', 'burn', 'like', 'heathen', 'king', 'old', 'bring', 'wood', 'oil']",,,,,,,,,
GATEKEEPER,"['defeat', 'helm', 'deep', 'show', 'enemi', 'one', 'thing', 'know', 'heir', 'elendil', 'come', 'forth', 'men', 'weak', 'suppos', 'courag', 'still', 'strength', 'enough', 'perhap', 'challeng', 'sauron', 'fear', 'risk', 'peopl', 'middl', 'earth', 'unit', 'one', 'banner', 'raze', 'mina', 'tirith', 'ground', 'see', 'king', 'return', 'throne', 'men', 'beacon', 'gondor', 'lit', 'rohan', 'must', 'readi', 'war']",,,,,,,,,
EOWYN,"['heard', 'magic', 'elv', 'look', 'ranger', 'north', 'speak', 'one']",,,,,,,,,
ELROND,"['leithio', 'philinn']",,,,,,,,,
BOROMIR,"['aye', 'gift', 'gift', 'foe', 'mordor', 'use', 'ring', 'long', 'father', 'steward', 'gondor', 'kept', 'forc', 'mordor', 'bey', 'peopl', 'land', 'kept', 'safe', 'give', 'gondor', 'weapon', 'enemi', 'let', 'us', 'use']",,,,,,,,,
LEGOLAS,"['final', 'count', '42']",,,,,,,,,
LEGOLAS,"['heir', 'throne', 'gondor']",,,,,,,,,
GOLLUM,"['wake', 'wake', 'wake', 'sleepi', 'must', 'go', 'yes', 'must', 'go']",,,,,,,,,
THEODEN,"['take', 'leav']",,,,,,,,,
LEGOLAS,"['must', 'move', 'cannot', 'linger']",,,,,,,,,
SAM,"['bog', 'led', 'us', 'swamp']",,,,,,,,,
DENETHOR,"['hous', 'spirit', 'crumbl', 'burn', 'alreadi', 'burn']",,,,,,,,,
GRIMA,"['understand', 'pass', 'hard', 'accept', 'especi', 'brother', 'desert']",,,,,,,,,
MERRY,"['exact', 'bar', 'hrum']",,,,,,,,,
EOMER,"['doubt', 'heart', 'reach', 'arm']",,,,,,,,,
SAM,"['filthi', 'lie', 'stink', 'two', 'face', 'sneak']",,,,,,,,,
DENETHOR,"['would', 'serv', 'citi', 'would', 'risk', 'utter', 'ruin']",,,,,,,,,
GOLLUM,[],,,,,,,,,
SARUMAN,"['stink', 'hors', 'man', 'gondor']",,,,,,,,,
KING OF THE DEAD,"['gave', 'us', 'word']",,,,,,,,,
GOLLUM,"['patienc', 'patienc', 'love', 'first', 'must', 'lead']",,,,,,,,,
GANDALF,"['theodr', 'death', 'make']",,,,,,,,,
FRODO,"['call', 'name', 'run', 'time']",,,,,,,,,
ARAGORN,['boromir'],,,,,,,,,
SARUMAN,"['save', 'piti', 'merci', 'use']",,,,,,,,,
EOWYN,"['take', 'cave']",,,,,,,,,
GOLLUM,"['master', 'say', 'show', 'himth', 'way', 'mordor', 'good', 'smeagol', 'doesmast', 'say']",,,,,,,,,
GRIMA,"['even', 'breach', 'would', 'takea', 'number', 'beyond', 'reckon', 'thousand', 'storm', 'keep']",,,,,,,,,
BILBO,['aaaaah'],,,,,,,,,
FRODO,"['bilbo', 'gaffer', 'homebrew']",,,,,,,,,
SHAGRAT,"['jab', 'stinger', 'goe', 'limp', 'bone', 'fish', 'aaa', 'way', 'like', 'feed', 'fresh', 'blood', 'get', 'tower']",,,,,,,,,
LEGOLAS,"['faeg', 'varv', 'n', 'na', 'lanc', 'nu', 'ranc']",,,,,,,,,
SAM,"['wait', 'let', 'go']",,,,,,,,,
GIMLI,['aragorn'],,,,,,,,,
LEGOLAS,"['red', 'sun', 'rise', 'blood', 'spill', 'night']",,,,,,,,,
GOLLUM,"['come', 'away', 'come', 'away', 'look', 'found', 'way', 'mordor']",,,,,,,,,
GANDALF,"['fight', 'fight', 'last', 'man', 'fight', 'live']",,,,,,,,,
PIPPIN,"['look', 'smoke', 'south']",,,,,,,,,
SAM,"['call', 'liar', 'liar']",,,,,,,,,
FRODO,[],,,,,,,,,
MERRY,"['foolhardi', 'mayb', 'took']",,,,,,,,,
GOLLUM,"['smeagol', 'cri', 'smeagol']",,,,,,,,,
FRODO,[],,,,,,,,,
GAMLING,[],,,,,,,,,
GIMLI,"['send', 'come']",,,,,,,,,
GANDALF,"['hmm', 'hmm', 'hmm', 'hmm', 'door', 'began', 'hmm', 'hmm', 'hmm', 'hmm']",,,,,,,,,
UGLUK,"['get', 'fire', 'go']",,,,,,,,,
FRODO,"['think', 'found', 'bottom']",,,,,,,,,
GOLLUM,['murder'],,,,,,,,,
PIPPIN,['stop'],,,,,,,,,
ARAGORN,"['rohan', 'home', 'hors', 'lord', 'someth', 'strang', 'work', 'evil', 'give', 'speedto', 'creatur', 'set', 'us']",,,,,,,,,
FRODO,"['frodo', 'got', 'far', 'without', 'sam']",,,,,,,,,
EOMER,"['uruk', 'destroy', 'slaughter', 'night']",,,,,,,,,
GOLLUM,['yes'],,,,,,,,,
SAM,"['know', 'mr', 'frodo', 'doubt', 'even', 'elvish', 'cloakswil', 'hide', 'us']",,,,,,,,,
BARLIMAN,"['good', 'even', 'littl', 'master', 'look', 'accomod', 'got', 'nice', 'cosi', 'hobbit', 'size', 'room', 'avail', 'alway', 'proud', 'cater', 'littl', 'folk', 'mr', 'err']",,,,,,,,,
ARAGORN,"['hw', 'nemna', 'e', 'hm', 'hw', 'nemna', 'e']",,,,,,,,,
ELROND,"['im', 'erin', 'veleth', 'l', 'n']",,,,,,,,,
BOROMIR,"['strang', 'fate', 'suffer', 'much', 'fear', 'doubt', 'small', 'thing', 'littl', 'thing']",,,,,,,,,
GOLLUM,"['yes', 'riski', 'riski']",,,,,,,,,
ARAGORN,[],,,,,,,,,
